ArrivalDelay;AirTime;DepartureDelay;Distance;TaxiIn;TaxiOut;MidOfWeekFlag
37;69;48;525;28;11;0
-8;72;-2;535;29;10;0
65;69;75;529;62;10;0
43;75;51;535;9;15;0
-3;70;-1;513;22;17;0
7;69;13;527;37;15;0
-3;69;2;555;14;14;0
66;279;87;2301;31;10;0
32;105;31;812;43;28;0
3;151;14;1132;94;14;0
46;146;57;1118;49;14;0
3;155;14;1142;6;10;0
42;291;53;2328;32;13;0
-3;210;1;1658;40;15;0
-1;213;1;1630;33;14;0
26;205;41;1622;60;12;0
17;210;23;1610;42;15;0
51;204;62;1624;67;14;0
-1;97;4;538;20;18;0
20;84;32;568;13;22;0
44;254;62;2037;34;10;0
4;53;1;273;26;16;0
59;53;57;253;74;17;0
31;53;34;271;36;10;0
-2;54;0;263;37;8;0
47;55;46;259;38;13;0
11;58;13;269;49;12;0
2;53;9;263;29;9;0
9;54;14;253;21;11;0
44;53;50;261;50;18;0
-3;53;0;253;20;14;0
14;54;8;245;9;24;0
1;48;4;253;11;13;0
15;281;21;2158;26;10;0
27;265;42;2122;14;10;0
-5;279;3;2132;29;14;0
11;245;10;1851;36;21;0
43;224;62;1830;38;15;0
13;231;9;1806;46;28;0
-12;97;1;669;41;7;0
7;91;15;665;23;13;0
54;89;69;665;50;13;0
95;101;105;667;14;14;0
14;90;27;659;34;12;0
0;98;13;683;18;9;0
14;92;24;677;28;21;0
27;90;32;606;30;12;0
0;84;8;606;63;15;0
0;133;24;854;27;9;0
43;133;59;828;47;15;0
28;164;44;1295;38;13;0
3;169;9;1261;28;24;0
-7;168;8;1277;38;9;0
33;173;37;1283;63;9;0
19;267;27;2116;36;13;0
27;206;35;1621;50;21;0
53;309;47;2333;27;22;0
15;48;21;274;21;12;0
9;46;15;268;41;12;0
29;47;23;272;45;16;0
14;48;14;266;26;12;0
54;47;55;284;41;18;0
8;49;4;266;95;20;0
1;49;0;264;30;12;0
15;54;14;284;51;16;0
5;60;0;278;60;9;0
26;49;25;302;50;22;0
46;52;38;290;23;30;0
32;51;34;280;72;10;0
-3;52;3;294;87;11;0
4;51;3;286;31;12;0
35;104;42;807;56;20;0
-2;170;8;1327;67;12;0
23;109;27;846;29;20;0
18;160;14;1198;23;32;0
54;151;66;1176;60;18;0
31;150;52;1182;74;8;0
50;150;65;1178;30;23;0
-10;158;-2;1184;34;14;0
9;156;21;1178;35;17;0
7;269;17;2073;16;14;0
44;204;5;1557;30;17;0
-4;209;3;1561;13;10;0
-14;201;2;1563;24;10;0
-3;204;8;1567;49;12;0
26;201;23;1573;39;21;0
12;208;17;1573;18;13;0
-10;204;-1;1579;40;16;0
-14;194;7;1573;29;11;0
22;197;31;1559;32;13;0
65;193;81;1565;30;11;0
61;197;78;1557;29;7;0
19;204;40;1531;56;10;0
-2;296;16;2402;24;9;0
0;200;0;1549;28;18;0
21;191;34;1551;39;12;0
3;92;-2;435;44;12;0
4;85;8;445;44;13;0
98;83;112;443;49;9;0
34;87;41;447;44;15;0
45;90;39;453;46;18;0
4;83;1;445;12;19;0
45;90;46;437;48;10;0
79;89;63;447;43;8;0
11;91;12;455;49;12;0
9;82;9;433;35;17;0
8;95;1;437;32;10;0
16;93;14;463;26;10;0
3;87;2;453;41;11;0
9;133;6;1043;60;24;0
54;152;72;1121;27;9;0
60;144;80;1149;50;10;0
-7;151;3;1151;40;14;0
14;44;3;217;44;26;0
18;39;27;239;21;8;0
-7;40;0;231;28;8;0
3;38;3;229;37;16;0
23;41;29;249;30;11;0
49;41;52;225;69;9;0
7;39;14;225;45;8;0
18;41;14;239;25;21;0
30;37;34;241;26;17;0
20;43;25;241;34;10;0
37;273;56;2179;65;10;0
6;129;19;792;41;10;0
-19;124;0;818;57;9;0
25;122;30;804;39;13;0
37;129;49;822;18;14;0
18;282;38;2222;64;19;0
-3;281;18;2210;21;13;0
-4;49;-1;288;27;14;0
14;56;6;280;36;24;0
3;58;6;302;51;11;0
1;54;6;288;74;8;0
18;56;24;308;29;10;0
71;55;78;304;25;10;0
3;54;1;302;29;21;0
24;53;22;302;51;15;0
-6;56;-2;320;57;11;0
8;56;-5;288;44;26;0
37;49;41;288;33;9;0
46;46;54;306;19;11;0
-7;51;-4;270;44;12;0
26;53;28;298;35;13;0
55;49;68;302;32;8;0
17;56;24;304;28;14;0
8;51;10;322;35;14;0
-7;51;-2;304;51;11;0
20;242;36;1930;54;13;0
9;251;11;1952;30;19;0
28;306;27;2403;49;23;0
10;266;14;2087;28;19;0
31;255;53;2071;47;13;0
30;69;41;399;41;10;0
16;62;30;385;95;8;0
-12;63;-1;361;28;8;0
13;66;10;365;55;13;0
27;63;26;379;99;21;0
29;70;30;391;53;12;0
16;66;14;377;18;18;0
48;64;51;399;44;14;0
-9;60;-1;399;28;9;0
21;62;36;383;48;12;0
19;66;16;389;53;23;0
14;64;23;389;65;12;0
-8;64;-2;375;62;14;0
17;59;16;292;39;14;0
3;55;1;292;39;16;0
43;52;45;280;83;12;0
3;52;0;304;37;16;0
14;53;16;282;27;18;0
0;53;5;284;28;11;0
9;51;9;294;44;13;0
55;51;53;326;55;18;0
36;56;38;320;55;8;0
29;55;34;276;63;10;0
61;54;52;302;82;24;0
43;52;48;316;39;10;0
-2;53;-3;294;61;12;0
9;58;7;292;40;14;0
0;145;10;1091;34;14;0
26;140;42;1105;41;10;0
-1;146;8;1113;65;9;0
-4;144;3;1091;53;15;0
21;221;19;1664;12;18;0
-1;148;17;896;23;9;0
-3;148;11;914;22;10;0
-22;143;-1;896;52;11;0
0;137;24;924;65;7;0
30;86;28;440;37;21;0
54;87;53;446;44;20;0
75;101;72;462;52;11;0
-9;81;-2;452;53;12;0
118;113;104;460;22;16;0
27;82;29;442;30;10;0
14;85;5;436;26;13;0
33;81;29;426;17;13;0
7;77;0;438;32;12;0
35;79;31;434;12;10;0
46;78;41;400;30;21;0
8;81;-4;426;54;13;0
-6;76;1;432;22;7;0
31;76;35;426;28;12;0
41;62;35;418;69;29;0
97;67;107;386;59;10;0
36;63;44;406;46;14;0
20;67;21;422;25;14;0
64;71;69;444;15;17;0
10;63;22;406;21;11;0
50;63;56;418;59;13;0
-14;63;-4;414;46;10;0
30;76;35;437;18;10;0
16;85;17;449;46;10;0
-5;75;-3;449;33;12;0
43;77;46;439;42;12;0
9;78;10;459;57;18;0
10;76;17;449;32;17;0
3;78;11;417;28;9;0
9;74;14;443;17;13;0
16;49;-1;254;44;8;0
-10;48;0;240;23;7;0
42;46;51;254;76;10;0
63;52;68;272;55;9;0
0;49;5;264;11;13;0
-6;48;-3;274;64;10;0
35;174;48;1420;37;24;0
8;173;25;1402;43;17;0
29;181;41;1414;15;9;0
31;250;50;2048;19;10;0
65;145;61;1106;42;29;0
40;61;50;405;16;9;0
44;64;50;411;71;11;0
-8;63;-5;401;56;13;0
18;63;19;393;24;17;0
28;61;34;423;56;8;0
24;62;25;401;29;18;0
5;72;9;529;6;13;0
-5;76;-5;533;62;14;0
37;69;46;545;33;8;0
